name,yeast_id,style_id,color_id,taste_id,level,photo,origine,,Title_URL,Title1,description,,
#DIPA  ,1,42,2,2,8.7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/616129/664e4c6cdb920093347563.png.webp,Danemark,Double IPA,https://www.vandb.fr/biere/-dipa-44cl.html,Canette de 0.44 L,Blonde Double IPA 8.7 % To ØL - Danemark,Blonde,%
1984  ,1,75,2,1,6.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615299/664e46e6c6dab468048305.png.webp,France,Saison,https://www.vandb.fr/biere/1984-33cl.html,Bouteille de 0.33 L,Blonde Saison 6.5 % Hoppy Road - France,Blonde,%
"3 FONTEINEN FRAMBOISE 37,5 CL",3,27,4,1,6.2,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/616809/664e584d1f3ce237076034.png.webp,Belgique,Lambic,https://www.vandb.fr/biere/3-fonteinen-framboise-37-5-cl.html,Bouteille de 0.38 L,Rouge Lambic 6.2 % 3 Fonteinen - Belgique,Rouge,%
3 FONTEINEN GOLDEN BLEND  ,3,27,2,1,7.3,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/616823/664e585c58585522415493.png.webp,Belgique,Lambic,https://www.vandb.fr/biere/3-fonteinen-golden-blend-75-cl.html,Bouteille de 0.75 L,Blonde Lambic 7.3 % 3 Fonteinen - Belgique,Blonde,%
3 FONTEINEN HOMMAGE  ,3,27,4,1,5.3,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611175/664e218ca558d217240881.png.webp,Belgique,Lambic,https://www.vandb.fr/biere/-3-fonteinen-hommage-75-cl-.html,Bouteille de 0.75 L,Rouge Lambic 5.3 % 3 Fonteinen - Belgique,Rouge,%
3 FONTEINEN HOMMAGE FRAMBOISE  ,3,27,4,1,5.8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/624504/665d3cc08659c493368132.png.webp,Belgique,Lambic,https://www.vandb.fr/biere/3-fonteinen-hommage-framboise-75-cl.html,Bouteille de 0.75 L,Rouge Lambic 5.8 % 3 Fonteinen - Belgique,Rouge,%
3 FONTEINEN OUDE GEUZE   CUVÉE ARMAND & GASTON,3,27,3,1,6.1,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/616819/664e5858e0fcd412056833.png.webp,Belgique,Lambic,https://www.vandb.fr/biere/3-fonteinen-oude-geuze-75-cl-cuvee-armand-gaston.html,Bouteille de 0.75 L,Ambrée Lambic 6.1 % 3 Fonteinen - Belgique,Ambrée,%
"3 FONTEINEN OUDE GEUZE 37,5 CL",3,27,2,1,6.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/624658/665d3e583736a419157487.png.webp,Belgique,Lambic,https://www.vandb.fr/biere/3-fonteinen-oude-geuze-37-5-cl.html,Bouteille de 0.38 L,Blonde Lambic 6.5 % 3 Fonteinen - Belgique,Blonde,%
3 FONTEINEN OUDE KRIEK  ,3,27,4,1,7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/616813/664e585301653794013102.png.webp,Belgique,Lambic,https://www.vandb.fr/biere/3-fonteinen-oude-kriek-75-cl-.html,Bouteille de 0.75 L,Rouge Lambic 7 % 3 Fonteinen - Belgique,Rouge,%
3 FONTEINEN OUDE KRIEK INTENSE ROOD  ,3,27,4,1,7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/624660/665d3e5b039b8452849490.png.webp,Belgique,Lambic,https://www.vandb.fr/biere/3-fonteinen-oude-kriek-intense-rood-75-cl.html,Bouteille de 0.75 L,Rouge Lambic 7 % 3 Fonteinen - Belgique,Rouge,%
3 MONTS BIÈRE NOUVELLE  ,1,75,2,1,7.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615646/664e49433675f218606188.png.webp,France,Saison,https://www.vandb.fr/biere/3-monts-biere-nouvelle-33-cl.html,Bouteille de 0.33 L,Blonde Saison 7.5 % 3 Monts - France,Blonde,%
3 MONTS BLONDE,1,19,2,5,8.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615457/664e47d24b25a794070518.png.webp,France,Strong Ale,https://www.vandb.fr/biere/3-monts-blonde-33-cl.html,Bouteille de 0.33 L,Blonde Strong Ale 8.5 % 3 Monts - France,Blonde,%
3 MONTS BRASSIN D'HIVER  ,1,31,2,2,8.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615445/664e47c58264f692631110.png.webp,France,Triple,https://www.vandb.fr/biere/3-monts-brassin-d-hiver-33-cl.html,Bouteille de 0.33 L,Blonde Triple 8.5 % Saint Sylvestre - France,Blonde,%
