id,name,city,website,type_id,active,zipcode
1,IUT Lyon 1 - Site de Bourg-en-Bresse (Alimentec),BOURG-EN-BRESSE,"iut.univ-lyon1.fr
www.alimentec.com",2,TRUE,1000
2,du Bugey,HAUTEVILLE-LOMPNES,la-biere-du-plateau.webnode.fr,2,TRUE,1110
3,La Corneille,PIZAY,brasserielacorneille.fr,2,TRUE,1120
4,Piva,BELLEYDOUX,lapiva.fr,2,TRUE,1130
5,L'Etincelle,NANTUA,www.brasserie-letincelle.fr,2,TRUE,1130
6,Sous Le Bois,SAINT-DIDIER-SUR-CHALARONNE,www.souslebois.com,2,TRUE,1140
7,Da Costa,CHAZEY-SUR-AIN,brasserie-da-costa.fr,2,TRUE,1150
8,"La Leymentaise
Cebast",LEYMENT,laleymentaise.fr,2,TRUE,1150
9,"3B
Brasserie Bassin Bellegardien",BILLIAT,,2,TRUE,1200
10,Bière Yourself,FERNEY-VOLTAIRE,www.biereyourself.fr,2,TRUE,1210
11,"Gessienne
SARL STAJAM",ORNEX,www.brasseriegessienne.fr,2,TRUE,1210
12,de Grilly,GRILLY,brasseriedegrilly.fr,2,TRUE,1220
13,L'Échappée Belle,GRILLY,brasseriedegrilly.fr,2,TRUE,1220
14,Puzzle,LENT,,2,TRUE,1240
15,Saint Clair,MONTAGNAT,www.brasserie-saint-clair.com,2,TRUE,1250
16,"Jean-Yves Martinal
Ferme-Brasserie de Belmonthé",BELMONT-LUTHÉZIEU,,2,TRUE,1260
17,La Gevrinoise,ANDERT-ET-CONDON,,2,TRUE,1300
18,du Gland,IZIEU,brasseriedugland-bugey.fr,2,TRUE,1300
19,Two Hats Brewing,PEYRIEU,www.twohatsbrewing.fr,2,TRUE,1300
20,de la Pérouze,BÂGÉ-DOMMARTIN,,2,TRUE,1380
21,La Luciole,BÂGÉ-DOMMARTIN,,2,TRUE,1380
22,B.L.A.S.T,CIVRIEUX,,2,TRUE,1390
23,La Poule,NEUVILLE-LES-DAMES,bierelapoule.fr,2,TRUE,1400
24,La Gorgée de Valserine,CHAMPFROMIER,lagorgeedevalserine.fr,2,TRUE,1410
25,Mac Never's and Co.,MAILLAT,www.macnevers-and-co.beer,2,TRUE,1430
26,Grange Noire,SAINT-ALBAN,grangenoire.com,2,TRUE,1450
27,ÔBrasseur,SAINT-GENIS-POUILLY,www.obrasseur.com,2,TRUE,1630
28,Les Indomptables,BOYEUX-SAINT-JÉRÔME,www.brasserielesindomptables.com,2,TRUE,1640
29,La 13,JUJURIEUX,,2,TRUE,1640
30,Rivière d'Ain,JUJURIEUX,rivieredain.fr,2,TRUE,1640
31,The Brew LAB,BEYNOST,brewlab.fr,2,TRUE,1700
32,Malt Emoi,MEXIMIEUX,www.malt-emoi.fr,2,TRUE,1800
33,de la Montagne Couronnée,LAON,www.brasserie-bmc.fr,2,TRUE,2000
34,Les 3 Brasseurs,SAINT-QUENTIN,www.les3brasseurs.com,2,TRUE,2100
35,La Musteline,JUMIGNY,la-musteline.beer,2,TRUE,2160
36,La Trilux,BELLEU,,2,TRUE,2200
37,Bières'n'Roses,VILLENEUVE-SAINT-GERMAIN,,2,TRUE,2200
38,Grizdal,CIRY-SALSOGNE,www.brasseriegrizdal.fr,2,TRUE,2220
39,Marl'Aisne,MARLE,,2,TRUE,2250
40,de la Cense,BICHANCOURT,www.biere-cheveche.com,2,TRUE,2300
41,La Chopine,CONDÉ-EN-BRIE,brasserielachopine.wixsite.com/site,2,TRUE,2330
42,de l'Escaut,VENDHUILE,,2,TRUE,2420
43,des Fables,ROZOY-BELLEVALLE,brasseriedesfables.wixsite.com/brasserie-des-fables,2,TRUE,2540
44,"Bulle's Not Dead
La Germoise",GERMAINE,www.lagermoise.fr,2,TRUE,2590
45,de Voas,FOLEMBRAY,www.voas.fr,2,TRUE,2670
46,Jack's Farm,BERRIEUX,brasserie-jackfarmer.com,2,TRUE,2820
47,Les 3 Loups,TRÉLOU-SUR-MARNE,brasserie-les3loups.com,2,TRUE,2850
48,"du Houblon
Le Houblon Gourmand",NANTEUIL LA FOSSE,www.cervoise.fr,2,TRUE,2880
49,La Mousse Bourbonnaise,AVERMES,www.la-mousse-bourbonnaise.fr,2,TRUE,3000
50,Blondel,MONTLUÇON,www.brasserieblondel.fr,2,TRUE,3100
51,Brew Vernet,BROÛT-VERNET,,2,TRUE,3110
52,Back In Malt,VARENNES-SUR-ALLIER,brasseriebackinmalt.fr,2,TRUE,3150
53,JNT,VALLON-EN-SULLY,,2,TRUE,3190
54,La Comète,VICHY,la-station-vichy.fr,2,TRUE,3200
55,Paysanne de la Maguin,CINDRÉ,,2,TRUE,3220
56,Ch'Hop'Ti,CRESSANGES,,2,TRUE,3240
57,de la Motte-Juillet,TREBAN,www.lamottejuillet.fr,2,TRUE,3240
58,Saint Nicolas da Bière,SAINT-NICOLAS-DES-BIEFS,,2,TRUE,3250
59,du Loup,LE VEURDRE,,2,TRUE,3320
60,Les Nouveaux Druides,HURIEL,,2,TRUE,3380
61,"du Père Saint'Oy
3.AS",SALIGNY-SUR-ROUDON,www.lasaintoy.fr,2,TRUE,3470
62,Lady Ale,SAINT-POURÇAIN-SUR-SIOULE,,2,TRUE,3500
63,du Jugement Dernier,MAZERIER,jugementdernier.beer,2,TRUE,3800
64,La Brass'Bastelle,VOLX,,2,TRUE,4130
65,de l'Aubrée,SELONNET,www.brasseriedelaubree.com,2,TRUE,4140
66,"de Thorame Basse
Cordoeil",THORAME BASSE,"www.thorame-basse.com
www.cordoeil.com",2,TRUE,4170
67,des Basses Alpes,VILLENEUVE,www.brasserie-des-basses-alpes.fr,2,TRUE,4180
68,Bière de la Durance,SISTERON,bieredeladurance.com,2,TRUE,4200
69,Bulle,MONTLAUX,,2,TRUE,4230
70,du Forest,CHÂTEAUFORT,,2,TRUE,4250
71,La Serpentine,CÉRESTE,laserpentine.co,2,TRUE,4280
72,"La Zero4
Volumna 930",VOLONNE,zero4.beer,2,TRUE,4290
73,Oso Craft,MALIJAI,www.oso-craft.fr,2,TRUE,4350
74,Saveurs & Nature,MOUSTIERS-SAINTE-MARIE,,2,TRUE,4360
75,des Hautes Vallées,SAINT-PAUL-SUR-UBAYE,www.la-sauvage.fr,2,TRUE,4530
76,Cérévisia,ORAISON,brasserieartisanalecerevisia.fr,2,TRUE,4700
77,Esotérique,SAINT-MICHEL-L'OBSERVATOIRE,,2,TRUE,4870
78,des Grands Cols,BRIANÇON,brasseriedesgrandscols.com,2,TRUE,5100
79,"3B
Brasserie Bio de Briançon",BRIANÇON,,2,TRUE,5100
80,"Au Chevalier Barbu
SARL Commanderie de Saint Antoine",NÉVACHE,www.chevalierbarbu.com/fr,2,TRUE,5100
81,"Le Monde d'Après
Brewpub des Aigues Froides",L'ARGENTIÈRE-LA-BESSÉE,,2,TRUE,5120
82,de Réallon,RÉALLON,,2,TRUE,5160
83,La Cuche,SAINT-ANDRÉ-D'EMBRUN,lacuche.com,2,TRUE,5200
84,Apex Brewpub,CHORGES,basp05.com,2,TRUE,5230
85,de Serre-Ponçon,CHORGES,basp05.com,2,TRUE,5230
86,Interstellaire du Dévoluy,DÉVOLUY,brasserie-interstellaire-du-devoluy.business.site,2,TRUE,5250
87,d'Ancelle,ANCELLE,www.brasserieancelle.fr,2,TRUE,5260
88,Walpine,SAINT-JEAN-SAINT-NICOLAS,www.walpine.fr,2,TRUE,5260
89,L&L Alphand,VALLOUISE,www.brasserie-alphand.com,2,TRUE,5290
90,Kippis,UPAIX,www.microbrasseriekippis.com,2,TRUE,5300
91,des Gorges de la Méouge,VAL BUËCH-MÉOUGE,brasseriemeouge.com,2,TRUE,5300
92,Floraison Sauvage,LA ROCHE-DES-ARNAUDS,www.floraisonsauvage.fr,2,TRUE,5400
93,La Queyrassine,RISTOLAS,,2,TRUE,5460
94,Butcher's,GUILLESTRE,brasserie-butchers.com,2,TRUE,5600
95,du Guillestrois,GUILLESTRE,,2,TRUE,5600
96,Mousquif,ORPIERRE,,2,TRUE,5700
97,des Gaillards,AUBESSAGNE,brasseriedesgaillards.fr,2,TRUE,5800
98,Alliance Brasserie,NICE,www.la-bonnebiere.com,2,TRUE,6000
99,Bleue,NICE,brasseriebleue.com,2,TRUE,6000
100,de Nice,NICE,brasserie-nice.fr,2,TRUE,6000
101,Les 3 Brasseurs,NICE,www.les3brasseurs.com,2,TRUE,6000
102,Azuréenne,GRASSE,www.brasserie-lazureenne.com,2,TRUE,6130
103,Bacho Brewery,TOURRETTES-SUR-LOUP,bachobrewery.com,2,TRUE,6140
104,"Mistrale, Bière de la Riviera",TOURRETTES-SUR-LOUP,www.mistrale-bieredelariviera.fr,2,TRUE,6140
105,L'Avanture Noudt,VENCE,www.noudt.com,2,TRUE,6140
106,Chez le Brasseur,CANNES,www.chezlebrasseur.com,2,TRUE,6150
107,Blue Coast Brewing Company,NICE,bluecoastbrewing.com,2,TRUE,6200
108,d'Aqui,NICE,www.brasseriedaqui.com,2,TRUE,6300
109,du Barbare,LA TURBIE,,2,TRUE,6320
110,À La Fût,MOUANS-SARTOUX,www.alafut.fr,2,TRUE,6370
111,du Mangiabo,SOSPEL,www.brasseriedumangiabo.fr,2,TRUE,6380
112,"Berroise
Hugins Brew",BERRE-LES-ALPES,www.brasserieberroise.com,2,TRUE,6390
113,La Baieta,CLANS,www.brasserielabab.fr,2,TRUE,6420
114,Kamous,ISOLA,www.brasseriedukamous.com,2,TRUE,6420
115,Valdeblore,VALDEBLORE,cerf-voise.fr,2,TRUE,6420
116,La Castagna,TENDE,,2,TRUE,6430
