id,name,city,website,type_id,active,zipcode
1632,des Hauts de France,NOINTEL,www.microbrasseriedeshautsdefrance.fr,2,TRUE,60840
1633,Les 3 Brasseurs,JAUX,www.les3brasseurs-compiegne.com,2,TRUE,60880
1634,La Thury,THURY-EN-VALOIS,www.lathury.fr,2,TRUE,60890
1635,Félicité,MONTAGNY-SAINTE-FÉLICITÉ,brasserie-felicite.fr,2,TRUE,60950
1636,"Le Bercail
Rondebulle",ALENÇON,brewpub-lebercail.fr,2,TRUE,61000
1637,La Normand’Assoiffée,ROIVILLE,,2,TRUE,61120
1638,de l'Arbre,BAGNOLES DE L'ORNE NORMANDIE,,2,TRUE,61140
1639,"Ferme-Brasserie de l'Être Soyer
La Trotteuse",SAINT-BRICE-SOUS-RÂNES,,2,TRUE,61150
1640,La Chahuteuse,ARGENTAN,,2,TRUE,61200
1641,Ferme des Chèvres Brasseuses,LES AUTHIEUX-DU-PUITS,www.fermedeschevresbrasseuses.com,2,TRUE,61240
1642,Bioterre,VALFRAMBERT,www.bioterre.fr,2,TRUE,61250
1643,du Perche,L'HÔME-CHAMONDOT,brasserieduperche.com,2,TRUE,61290
1644,des Forges,JUVIGNY VAL D'ANDAINE,brasseriedesforges.fr,2,TRUE,61330
1645,Praelli,PERCHE EN NOCÉ,,2,TRUE,61340
1646,d'Ecouves,MAHÉRU,,2,TRUE,61380
1647,La Vertueuse,LA CHAPELLE-MONTLIGEON,lavertueuse.fr,2,TRUE,61400
1648,"des Pionniers
Globe Brewer",SAINT-LANGIS-LÈS-MORTAGNE,brasserie-des-pionniers.com,2,TRUE,61400
1649,Château de la Bière,LONLAY-L'ABBAYE,chateau-de-la-biere.com,2,TRUE,61700
1650,L'Arras'In,ARRAS,larrasin.fr,2,TRUE,62000
1651,Craft Brew Experience,CALAIS,www.craftbrewexperience.com,2,TRUE,62100
1652,Ferme-Brasserie de Beaumont,HÉNIN-BEAUMONT,www.brasserie-bellus.fr,2,TRUE,62110
1653,La Flibustière,HÉNIN-BEAUMONT,www.brasserielaflibustiere.fr,2,TRUE,62110
1654,John's Beer,ROEUX,,2,TRUE,62118
1655,Dubois,NORRENT-FONTES,brasseriedubois.com,2,TRUE,62120
1656,Trikazel,NORRENT-FONTES,,2,TRUE,62120
1657,La Brebis Galeuse,ROËLLECOURT,brebisgaleuse.fr,2,TRUE,62130
1658,La Risquette,FIENNES,brasserielarisquette.com,2,TRUE,62132
1659,"de la Lawe
EARL Ferme des Peupliers",LA COUTURE,www.labellotte.fr,2,TRUE,62136
1660,des 3 Clochers,BILLY-BERCLAU,brasseriedes3clochers.fr,2,TRUE,62138
1661,Artésienne,HAISNES,www.brasserie-artesienne.fr,2,TRUE,62138
1662,White Star,MARCONNE,www.brasserie-artisanale-white-star.com,2,TRUE,62140
1663,des 7 Bonnettes,ETAING,brasserie-7bonnettes.com,2,TRUE,62156
1664,de la Ferme de la Tuilerie,VIS-EN-ARTOIS,,2,TRUE,62156
1665,Saint-Germain,AIX-NOULETTE,www.page24.fr,2,TRUE,62160
1666,BCA2 - La Rivière,RIVIÈRE,www.bca2.fr,2,TRUE,62173
1667,"des 2 Caps
Christophe Noyon Brasseur SARL",TARDINGHEN,www.2caps.fr,2,TRUE,62179
1668,"Au Rythme des Saisons
L'Estoupette",RIENCOURT-LÈS-CAGNICOURT,au-rythme-des-saisons.com,2,TRUE,62182
1669,Le Jardin d'Helant,ECQUEDECQUES,www.lejardindhelant.com,2,TRUE,62190
1670,L'Intemporelle,WAILLY,,2,TRUE,62217
1671,de Mai,CARVIN,brasseriedemai.fr,2,TRUE,62220
1672,"La Drache
SAS Wattbeer",CARVIN,"www.ladrache.fr
www.wattbeer.fr",2,TRUE,62220
1673,"At Home Bière (site d'Athies)
AHBA",ATHIES,www.athomebiere.com,2,TRUE,62223
1674,Les 3 Brasseurs,COQUELLES,www.3brasseurs-coquelles.fr,2,TRUE,62231
1675,OneShot Brewpub,VENDIN-LÈS-BÉTHUNE,,2,TRUE,62232
1676,du Boulonnais,MARQUISE,brasserieduboulonnais.fr,2,TRUE,62250
1677,Saint Théodore,LENS,saint-theodore.fr,2,TRUE,62300
1678,Bois de la Chapelle,TORCY,,2,TRUE,62310
1679,Les Brasseurs des Terres d'Opale,BAINCTHUN,lesbrasseursdesterresdopale.fr,2,TRUE,62360
1680,Chromatique,SAINT-LÉONARD,www.brasserie-chromatique.com,2,TRUE,62360
1681,La Brèche,BÉTHUNE,brasserielabreche.fr,2,TRUE,62400
1682,Castelain,BÉNIFONTAINE,"www.chti.com
brasseriecastelain.com",2,TRUE,62410
1683,des Terres Noires,SALLAUMINES,www.brasseriedesterresnoires.fr,2,TRUE,62430
1684,Abbaye de Clairmarais,CLAIRMARAIS,www.abbayedeclairmarais.fr,2,TRUE,62500
1685,Saint-Omer,SAINT-OMER,www.brasserie-saint-omer.com,2,TRUE,62500
1686,Goudale,ARQUES,www.lagoudale.com,2,TRUE,62510
1687,Bayart,BOURS,,2,TRUE,62550
1688,"du Rietz
Brasserie des Gueux et Mécréants",SACHIN,,2,TRUE,62550
1689,Le Chaudron Helfic,HELFAUT,lechaudronhelfic.com,2,TRUE,62570
1690,Paysanne de l'Artois,GAVRELLE,"bierepaysanne.fr
www.brasseriepaysanne.fr",2,TRUE,62580
1691,W,NEUVIREUIL,brasseriew.fr,2,TRUE,62580
1692,Alceste,OIGNIES,brasserie-alceste.business.site,2,TRUE,62590
1693,Les Pèlerins,ARDRES,brasserielespelerins.fr,2,TRUE,62610
1694,Les 3 Brasseurs,BRUAY-LA-BUISSIÈRE,www.les3brasseursbruay.com,2,TRUE,62700
1695,Delbeke,LORGIES,www.brasseriedelbeke.fr,2,TRUE,62840
1696,Chipchak,SAILLY-SUR-LA-LYS,brasserie-chipchak.fr,2,TRUE,62840
1697,du Funquet,ESCOEUILLES,,2,TRUE,62850
1698,d'Écottes,LICQUES,,2,TRUE,62850
1699,des 3 Pays,LICQUES,,2,TRUE,62850
1700,du Goulot - Site de Wimereux,WIMEREUX,www.labrasseriedugoulot.com,2,TRUE,62930
1701,Les 3 Brasseurs,NOYELLES GODAULT,www.les3brasseurs.com,2,TRUE,62950
1702,Quentovic,BEAURAINVILLE,quentovic.com,2,TRUE,62990
1703,Brasse Band,CLERMONT-FERRAND,brasseband.com,2,TRUE,63000
1704,Craft Beers & Cie - Clermont Ferrand,CLERMONT-FERRAND,www.craftbeersetcie.com,2,TRUE,63000
1705,des Puys,CLERMONT-FERRAND,www.bieres-leplanb.com,2,TRUE,63000
1706,Midnight Brewing,CLERMONT-FERRAND,,2,TRUE,63000
1707,Potinga,CLERMONT-FERRAND,,2,TRUE,63000
1708,Brasserie Grizzly & Brew-pub,CLERMONT-FERRAND,www.grizzlymicrobrasserie.fr,2,TRUE,63100
1709,"Billd
Le Réveil des Volcans",MUR-SUR-ALLIER,www.billd.fr,2,TRUE,63111
